,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,18,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,139,0,0,158,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,267,0,419,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,223,0,256,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,220,0,0,115,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,2065,0,0,0,0,0,0
7,0,0,0,0,0,179,1555,0,542,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0
8,0,0,0,0,368,0,0,1037,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1086,0,1419,0,0,0,763,1763,828,0,0,0,0,0,0,0
10,0,0,0,683,0,0,0,0,0,656,0,487,0,489,0,0,0,0,0,0,0,0,0,0
11,0,0,273,0,0,0,0,0,0,0,403,0,827,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,296
13,0,0,0,0,0,0,0,0,0,0,421,0,0,0,654,0,0,0,0,0,0,0,339,0
14,0,0,0,0,0,0,0,0,0,949,0,0,0,419,0,0,0,0,333,0,0,592,0,0
15,0,0,0,0,0,0,0,1241,0,1259,0,0,0,0,0,0,916,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,745,0,0,1087,0,0,0,0,0
17,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,1130,0,0,0,2175,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,844,0,0,483,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,638,0,503,471,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,528,0,701
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,331,313,0,799,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,491,0,308
23,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,454,0,357,0
