Generation 	Queries    	Avg	Max	Min 	Best
40 	76    	-86.7021	127.607	-500 	-1.10086
39 	68    	-108.646	164.307	-700 	-1.10086
38 	77    	-108.672	144.192	-600 	-1.10086
37 	75    	-98.6704	133.66 	-500 	-1.10086
36 	66    	-56.8743	105.671	-400 	-1.10086
35 	72    	-77.78  	128.262	-500 	-1.10086
34 	68    	-97.6905	144.074	-500 	-1.10086
33 	74    	-75.7667	112.962	-400 	-1.10086
32 	85    	-85.7509	130.183	-600 	-1.10086
31 	69    	-64.7928	107.717	-600 	-1.09324
30 	72    	-79.7669	129.376	-600 	-1.09324
29 	78    	-66.8603	110.14 	-400 	-1.09324
28 	82    	-73.7541	124.343	-700 	-1.09324
27 	72    	-66.8399	111.953	-500 	-1.09324
26 	64    	-59.8799	110.975	-600 	-1.09324
25 	68    	-74.7799	121.692	-700 	-1.09324
24 	75    	-62.8845	114.222	-500 	-1.09324
23 	81    	-82.7411	117.281	-400 	-1.09324
22 	77    	-75.8305	123.898	-500 	-1.09324
21 	72    	-72.8463	133.77 	-700 	-1.10086
20 	77    	-83.7271	121.205	-500 	-1.10086
19 	80    	-77.7344	111.617	-500 	-1.10086
18 	79    	-63.8337	103.084	-400 	-1.10086
17 	75    	-53.995 	111.292	-500 	-1.10086
16 	83    	-76.8234	124.496	-600 	-1.10086
15 	72    	-72.8429	121.223	-700 	-1.10086
14 	83    	-57.9415	95.6247	-400 	-1.10086
13 	65    	-56.0219	112.973	-600 	-1.10086
12 	75    	-67.9624	118.67 	-500 	-1.1782
11 	76    	-64.0549	121.649	-700 	-1.1782
10 	70    	-45.1976	100.792	-500 	-1.24822
9  	65    	-67.0615	112.714	-500 	-1.2636
