,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,1,21,236,179,54,3,5,0,20,60,30,2,5,4,0,0,4,0,2,1,1,0,0
1,24,0,3,6,44,178,27,58,12,13,1,3,2,0,0,7,1,7,1,0,2,0,0,0
2,34,3,0,135,5,5,2,2,1,89,55,10,3,2,5,0,0,5,0,1,2,0,0,0
3,248,1,135,0,44,19,11,43,30,192,123,519,39,68,20,15,5,3,1,7,13,9,5,6
4,158,48,9,68,0,103,84,212,165,496,40,22,1,8,24,57,11,21,1,8,6,2,0,1
5,63,752,6,11,179,0,204,236,24,61,8,5,1,3,4,35,5,41,0,7,9,1,2,1
6,1,31,4,13,83,206,0,445,40,385,7,2,2,0,8,387,32,116,2,12,10,1,0,0
7,10,66,3,36,217,165,408,0,37,338,36,8,3,10,45,44,107,341,15,105,7,10,1,4
8,0,9,0,33,138,34,47,28,0,87,27,5,3,7,18,25,14,40,0,16,5,3,0,1
9,7,9,82,207,506,48,399,336,193,0,526,500,59,173,340,519,396,645,67,393,144,182,19,18
10,60,3,64,200,40,7,9,40,23,233,0,279,50,149,26,28,6,8,1,12,25,62,16,18
11,24,2,12,494,27,8,4,3,2,471,305,0,910,87,22,4,1,4,1,17,401,245,100,220
12,2,3,1,33,6,2,2,2,4,58,57,441,0,76,21,0,2,5,0,26,127,137,71,204
13,1,0,2,80,7,1,3,9,7,196,108,81,68,0,78,8,15,24,7,74,182,262,58,50
14,1,1,2,12,19,8,5,36,17,215,22,28,16,108,0,36,82,83,60,146,156,170,16,21
15,3,4,1,12,64,25,350,69,27,257,23,5,1,8,38,0,95,272,17,204,7,5,1,2
16,3,2,0,3,13,4,35,98,16,196,8,7,0,12,87,68,0,275,39,158,3,7,0,4
17,1,1,1,5,34,51,24,342,47,687,7,4,5,26,96,492,265,0,30,80,404,77,7,67
18,0,1,0,1,4,2,3,13,0,56,1,0,1,6,17,13,44,32,0,15,51,20,0,8
19,2,1,0,7,14,7,13,127,17,418,12,15,19,72,142,206,166,188,38,0,245,134,5,34
20,1,3,2,5,3,8,6,5,4,156,18,355,142,190,159,6,4,419,45,270,0,194,69,70
21,0,1,0,9,3,2,3,9,4,176,43,263,135,241,165,13,14,86,17,100,206,0,43,61
22,0,0,0,5,2,1,0,3,1,30,8,115,56,20,10,0,0,8,0,8,62,20,0,5
23,0,0,0,4,3,1,3,2,1,18,14,229,80,49,15,1,1,77,4,34,42,56,28,0
